番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
26,Z512CP,吐水口先端部一式,2420,2541,KF51C3・KM51C3,KF51C3_B.png,,
27,ZK121-20,Xパッキン,160,168,KF51C3・KM51C3,KF51C3_B.png,,
28,PZ42-20,パッキンセット,290,305,KF51C3・KM51C3,KF51C3_B.png,,
1,PZK1GL-2,GLハンドルセット,1110,1166,KF52NC,KF52NC_B.png,,
2,PZK3GL-2,キャップセット(湯･水),280,294,KF52NC,KF52NC_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF52NC,KF52NC_B.png,,
4,Z218K,ビス止スピンドルセット,740,777,KF52NC,KF52NC_B.png,,
5,PZK127,水栓上部パッキンセット,190,200,KF52NC,KF52NC_B.png,,
6,PZKF74N,シャワー切替レバー(ビス付),840,882,KF52NC,KF52NC_B.png,,
7,ZKF58G,切替弁ユニット,1800,1890,KF52NC,KF52NC_B.png,,
8,PZK80-17,吐水口,1370,1439,KF52NC,KF52NC_B.png,,
9,ZK121-13,Xパッキン,110,116,KF52NC,KF52NC_B.png,,
10,PZ42,パッキンセット,260,273,KF52NC,KF52NC_B.png,,
11,ZK1SLNC,給止水レバーハンドル(ビス付),950,998,KF52NC,KF52NC_B.png,,
12,ZKF116SLN,給止水弁ユニット,2000,2100,KF52NC,KF52NC_B.png,,
13,ZKF66JY,シャワーエルボ,2340,2457,KF52NC,KF52NC_B.png,,
14,ZKF91N,逆止弁,280,294,KF52NC,KF52NC_B.png,,
15,ZKF80,シャワーホース接続パッキン,80,84,KF52NC,KF52NC_B.png,,
16,ZKF1,送り座,540,567,KF52NC,KF52NC_B.png,,
17,ZKF60SLN,流量調節止水弁,740,777,KF52NC,KF52NC_B.png,,
18,ZKF61SLN,逆止弁,630,662,KF52NC,KF52NC_B.png,,
19,PZKF191,水抜きスピンドル,470,494,KF52NC,KF52NC_B.png,,
1,PZK1W85S-3,ハンドルセット,1320,1386,KF53N3・KM53N3,KF53N3_B.png,,
2,ZK3W85S-2,キャップセット(湯･水),630,662,KF53N3・KM53N3,KF53N3_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF53N3・KM53N3,KF53N3_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF53N3・KM53N3,KF53N3_B.png,,
5,Z218K,ビス止スピンドルセット,740,777,KF53N3・KM53N3,KF53N3_B.png,,
6,ZKF118N,給湯源切替ハンドル(ビス付),1090,1145,KF53N3・KM53N3,KF53N3_B.png,,
7,ZKF203,切替弁ユニット,3150,3308,KF53N3・KM53N3,KF53N3_B.png,,
8,ZKF203NE53,ハンドル･切替弁セット,5190,5450,KF53N3・KM53N3,KF53N3_B.png,,
9,PZKF74N,シャワー切替レバー(ビス付),840,882,KF53N3・KM53N3,KF53N3_B.png,,
10,ZKF58G,切替弁ユニット,1800,1890,KF53N3・KM53N3,KF53N3_B.png,,
11,ZKF119N,ソーラー用切替ハンドル(ビス付),1500,1575,KF53N3・KM53N3,KF53N3_B.png,,
12,ZKF204,給水切替弁ユニット,2600,2730,KF53N3・KM53N3,KF53N3_B.png,,
13,PZ511-15,吐水口,2310,2426,KF53N3・KM53N3,KF53N3_B.png,,
14,Z511CP,吐水口先端部一式,2100,2205,KF53N3・KM53N3,KF53N3_B.png,,
15,PZ511CP3,整流器キャップセット,950,998,KF53N3・KM53N3,KF53N3_B.png,,
16,ZK121-13,Xパッキン,110,116,KF53N3・KM53N3,KF53N3_B.png,,
17,PZ42,パッキンセット,260,273,KF53N3・KM53N3,KF53N3_B.png,,
18,PZKF66J,シャワーエルボ,2090,2195,KF53N3・KM53N3,KF53N3_B.png,,
19,ZKF80,シャワーホース接続パッキン,80,84,KF53N3・KM53N3,KF53N3_B.png,,
20,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KF53N3・KM53N3,KF53N3_B.png,,
21,PZ573,逆止弁,820,861,KF53N3・KM53N3,KF53N3_B.png,,
22,ZKF60P,流量調節止水弁,1690,1775,KF53N3・KM53N3,KF53N3_B.png,,
